datum,vertrek-aankomst,stop_0,stop_1,stop_2,aantal_tussenstops,vluchtduur,prijs,stoelen_beschikbaar
01.04.23,06:55 - 13:35,BRU - MUC,MUC - CFU,-,1,5h 40min,"580,58",-
01.04.23,19:15 - 14:35,BRU - FRA,FRA - MUC,MUC - CFU,2,18h 20min,"752,32",-
01.04.23,19:15 - 14:35,BRU - FRA,FRA - MUC,MUC - CFU,2,18h 20min,"752,32",-
02.04.23,06:55 - 14:35,BRU - MUC,MUC - CFU,-,1,6h 40min,"677,58",-
02.04.23,07:00 - 14:35,BRU - FRA,FRA - MUC,MUC - CFU,2,6h 35min,niet beschikbaar,-
07.04.23,19:15 - 13:35,BRU - FRA,FRA - MUC,MUC - CFU,2,17h 20min,"389,32",7
08.04.23,06:55 - 13:35,BRU - MUC,MUC - CFU,-,1,5h 40min,"272,58",4
08.04.23,19:15 - 14:35,BRU - FRA,FRA - MUC,MUC - CFU,2,18h 20min,"389,32",-
09.04.23,06:55 - 14:35,BRU - MUC,MUC - CFU,-,1,6h 40min,"320,58",-
09.04.23,07:00 - 14:35,BRU - FRA,FRA - MUC,MUC - CFU,2,6h 35min,"326,11",-
15.04.23,06:55 - 13:35,BRU - MUC,MUC - CFU,-,1,5h 40min,"194,58",-
15.04.23,19:15 - 14:35,BRU - FRA,FRA - MUC,MUC - CFU,2,18h 20min,"332,32",2
15.04.23,19:15 - 14:35,BRU - FRA,FRA - MUC,MUC - CFU,2,18h 20min,"453,32",7
16.04.23,06:55 - 14:35,BRU - MUC,MUC - CFU,-,1,6h 40min,"272,58",1
22.04.23,06:55 - 13:35,BRU - MUC,MUC - CFU,-,1,5h 40min,"194,58",-
22.04.23,06:20 - 20:00,BRU - GVA,ZHT - ZRH,ZRH - CFU,2,12h 40min,"576,35",-
22.04.23,06:20 - 20:00,BRU - GVA,GVA - ZRH,ZRH - CFU,2,12h 40min,"582,60",-
