scrapeDate,departureAirportCode,departureAirportName,departureCountryCode,arrivalAirportCode,arrivalAirportName,arrivalCountryCode,duration,aantalTussenstops,availableSeats,flightNumber,carrierCode,carrierName,departureDate,totalPrice,taxIncludedInPrice
2023-03-16,BRU,BRUSSELS AIRPORT,BE,HER,NIKOS KAZANTZAKIS,GR,03:25,0,9,SN3255,SN,BRUSSELS AIRLINES,2023-04-01T05:55:00,392.14,82.14
2023-03-16,BRU,BRUSSELS AIRPORT,BE,HER,NIKOS KAZANTZAKIS,GR,06:55,1,3,LX4551,LX,SWISS INTERNATIONAL AIR LINES,2023-04-01T06:20:00,527.89,152.89
2023-03-16,BRU,BRUSSELS AIRPORT,BE,HER,NIKOS KAZANTZAKIS,GR,05:00,1,1,OS8172,OS,AUSTRIAN AIRLINES,2023-04-01T06:50:00,718.38,148.38
2023-03-16,BRU,BRUSSELS AIRPORT,BE,HER,NIKOS KAZANTZAKIS,GR,13:00,1,1,OS356,OS,AUSTRIAN AIRLINES,2023-04-01T20:00:00,718.38,148.38
2023-03-16,BRU,BRUSSELS AIRPORT,BE,HER,NIKOS KAZANTZAKIS,GR,13:45,1,1,OS8176,OS,AUSTRIAN AIRLINES,2023-04-01T19:15:00,718.38,148.38
2023-03-16,BRU,BRUSSELS AIRPORT,BE,HER,NIKOS KAZANTZAKIS,GR,12:35,1,9,LH5589,LH,LUFTHANSA,2023-04-01T19:15:00,726.88,156.88
2023-03-16,BRU,BRUSSELS AIRPORT,BE,HER,NIKOS KAZANTZAKIS,GR,12:35,1,9,LH5589,LH,LUFTHANSA,2023-04-01T19:15:00,726.88,156.88
2023-03-16,BRU,BRUSSELS AIRPORT,BE,HER,NIKOS KAZANTZAKIS,GR,13:45,1,9,LH1017,LH,LUFTHANSA,2023-04-01T18:05:00,726.88,156.88
2023-03-16,BRU,BRUSSELS AIRPORT,BE,HER,NIKOS KAZANTZAKIS,GR,13:45,1,9,LH1017,LH,LUFTHANSA,2023-04-01T18:05:00,726.88,156.88
2023-03-16,BRU,BRUSSELS AIRPORT,BE,HER,NIKOS KAZANTZAKIS,GR,12:40,2,1,LH2283,LH,LUFTHANSA,2023-04-01T08:50:00,1141.11,218.11
2023-03-16,BRU,BRUSSELS AIRPORT,BE,HER,NIKOS KAZANTZAKIS,GR,15:15,1,4,LX789,LX,SWISS INTERNATIONAL AIR LINES,2023-04-01T20:15:00,613.49,143.49
2023-03-16,BRU,BRUSSELS AIRPORT,BE,HER,NIKOS KAZANTZAKIS,GR,09:25,1,4,LX787,LX,SWISS INTERNATIONAL AIR LINES,2023-04-01T09:45:00,743.49,143.49
2023-03-16,BRU,BRUSSELS AIRPORT,BE,HER,NIKOS KAZANTZAKIS,GR,06:50,1,1,LH1013,LH,LUFTHANSA,2023-04-01T14:40:00,750.67,150.67
2023-03-16,BRU,BRUSSELS AIRPORT,BE,HER,NIKOS KAZANTZAKIS,GR,08:15,1,1,LH1011,LH,LUFTHANSA,2023-04-01T13:15:00,750.67,150.67
