flightNumber,departureAirportCode,departureAirportName,arrivalAirportCode,arrivalAirportName,departureDate,arrivalDate,carrierCode,duration_formatted,price,hasDiscount,fareType,availableSeats,flightKey
FR 7986,CRL,Brussels (Charleroi),HER,Heraklion Crete,2023-04-01T08:10:00.000,2023-04-01T12:35:00.000,,03:25,205.75,False,ADT,-1,FR~7986~ ~~CRL~04/01/2023 08:10~HER~04/01/2023 12:35~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-01T07:45:00.000,2023-04-01T10:00:00.000,,02:15,141.29,True,ADT,-1,FR~1302~ ~~CRL~04/01/2023 07:45~NAP~04/01/2023 10:00~~
FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-04-01T21:30:00.000,2023-04-01T23:59:00.000,Malta Air,02:29,115.99,False,ADT,-1,FR~6269~ ~~CRL~04/01/2023 21:30~PMO~04/01/2023 23:59~~
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-04-01T11:05:00.000,2023-04-01T13:00:00.000,,02:55,151.74,False,ADT,1,FR~2941~ ~~CRL~04/01/2023 11:05~FAO~04/01/2023 13:00~~
FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-01T15:50:00.000,2023-04-01T18:15:00.000,,02:25,160.99,False,ADT,-1,FR~3534~ ~~CRL~04/01/2023 15:50~ALC~04/01/2023 18:15~~
FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-01T13:40:00.000,2023-04-01T16:25:00.000,,02:45,205.49,False,ADT,-1,FR~1916~ ~~CRL~04/01/2023 13:40~AGP~04/01/2023 16:25~~
FR 2923,BRU,Brussels,AGP,Malaga,2023-04-02T09:55:00.000,2023-04-02T12:50:00.000,,02:55,210.29,False,ADT,3,FR~2923~ ~~BRU~04/02/2023 09:55~AGP~04/02/2023 12:50~~
FR 6251,CRL,Brussels (Charleroi),CFU,Corfu,2023-04-02T17:00:00.000,2023-04-02T20:40:00.000,,02:40,116.69,False,ADT,5,FR~6251~ ~~CRL~04/02/2023 17:00~CFU~04/02/2023 20:40~~
FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-04-02T17:30:00.000,2023-04-02T19:55:00.000,,02:25,89.54,False,ADT,-1,FR~7737~ ~~CRL~04/02/2023 17:30~BDS~04/02/2023 19:55~~
FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-02T09:45:00.000,2023-04-02T12:00:00.000,Malta Air,02:15,123.72,False,ADT,3,FR~1302~ ~~CRL~04/02/2023 09:45~NAP~04/02/2023 12:00~~
FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-04-02T16:45:00.000,2023-04-02T18:40:00.000,,02:55,113.99,False,ADT,-1,FR~2941~ ~~CRL~04/02/2023 16:45~FAO~04/02/2023 18:40~~
FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-02T09:55:00.000,2023-04-02T12:20:00.000,,02:25,176.4,False,ADT,5,FR~3534~ ~~CRL~04/02/2023 09:55~ALC~04/02/2023 12:20~~
FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-04-02T07:30:00.000,2023-04-02T09:55:00.000,,02:25,95.41,False,ADT,-1,FR~6456~ ~~CRL~04/02/2023 07:30~IBZ~04/02/2023 09:55~~
FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-02T21:30:00.000,2023-04-03T00:15:00.000,,02:45,154.09,False,ADT,-1,FR~1916~ ~~CRL~04/02/2023 21:30~AGP~04/03/2023 00:15~~
