scrapeDate,flightKey,flightNumber,departureAirportCode,departureAirportName,arrivalAirportCode,arrivalAirportName,departureDate,departureTime,arrivalDate,arrivalTime,carrierCode,carrierName,duration_formatted,price,originalPrice,hasDiscount,hasPromoDiscount,discountAmount,fareType,availableSeats
2023-03-27,FR 7986_2023-04-01,FR 7986,CRL,Brussels (Charleroi),HER,Heraklion Crete,2023-04-01,08:10:00,2023-04-01,12:35:00,FR,Ryanair,03:25,174.83,185.99,True,False,11.16,ADT,2
2023-03-27,FR 6269_2023-04-01,FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-04-01,21:30:00,2023-04-01,23:59:00,FR,Malta Air,02:29,81.51,81.51,False,False,0.0,ADT,5
2023-03-27,FR 2941_2023-04-01,FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-04-01,11:05:00,2023-04-01,13:00:00,FR,Ryanair,02:55,327.72,327.72,False,False,0.0,ADT,2
2023-03-27,FR 3534_2023-04-01,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-01,15:50:00,2023-04-01,18:15:00,FR,Ryanair,02:25,154.99,160.99,True,False,6.0,ADT,2
2023-03-27,FR 1916_2023-04-01,FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-01,13:35:00,2023-04-01,16:20:00,FR,Ryanair,02:45,307.72,307.72,False,False,0.0,ADT,2
2023-03-27,FR 7831_2023-04-01,FR 7831,CRL,Brussels (Charleroi),PMI,Mallorca,2023-04-01,17:20:00,2023-04-01,19:30:00,FR,Ryanair,02:10,168.99,168.99,False,False,0.0,ADT,3
2023-03-27,FR 2923_2023-04-02,FR 2923,BRU,Brussels,AGP,Malaga,2023-04-02,09:55:00,2023-04-02,12:50:00,FR,Ryanair,02:55,207.47,207.47,False,False,0.0,ADT,2
2023-03-27,FR 6251_2023-04-02,FR 6251,CRL,Brussels (Charleroi),CFU,Corfu,2023-04-02,17:00:00,2023-04-02,20:40:00,FR,Ryanair,02:40,97.99,97.99,False,False,0.0,ADT,5
2023-03-27,FR 7737_2023-04-02,FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-04-02,17:30:00,2023-04-02,19:55:00,FR,Ryanair,02:25,75.52,75.52,False,False,0.0,ADT,-1
2023-03-27,FR 1302_2023-04-02,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-02,09:45:00,2023-04-02,12:00:00,FR,Malta Air,02:15,106.0,106.0,False,False,0.0,ADT,1
2023-03-27,FR 3534_2023-04-02,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-02,09:55:00,2023-04-02,12:20:00,FR,Ryanair,02:25,203.49,203.49,False,False,0.0,ADT,4
2023-03-27,FR 6456_2023-04-02,FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-04-02,07:30:00,2023-04-02,09:55:00,FR,Ryanair,02:25,64.31,64.31,False,False,0.0,ADT,1
2023-03-27,FR 1916_2023-04-02,FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-02,21:30:00,2023-04-03,00:15:00,FR,Ryanair,02:45,134.59,134.59,False,False,0.0,ADT,1
2023-03-27,FR 563_2023-04-02,FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-04-02,12:35:00,2023-04-02,16:10:00,FR,Ryanair,04:35,266.95,266.95,False,False,0.0,ADT,2
2023-03-27,FR 2923_2023-04-03,FR 2923,BRU,Brussels,AGP,Malaga,2023-04-03,17:40:00,2023-04-03,20:30:00,FR,Ryanair,02:50,215.88,215.88,False,False,0.0,ADT,2
2023-03-27,FR 2915_2023-04-03,FR 2915,BRU,Brussels,PMI,Mallorca,2023-04-03,20:25:00,2023-04-03,22:40:00,FR,Ryanair,02:15,134.59,134.59,False,False,0.0,ADT,5
2023-03-27,FR 8577_2023-04-03,FR 8577,CRL,Brussels (Charleroi),RHO,Rhodes,2023-04-03,12:00:00,2023-04-03,16:35:00,FR,Ryanair,03:35,114.13,114.13,False,False,0.0,ADT,2
2023-03-27,FR 7737_2023-04-03,FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-04-03,20:55:00,2023-04-03,23:20:00,FR,Malta Air,02:25,40.06,40.06,False,False,0.0,ADT,1
2023-03-27,FR 1302_2023-04-03,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-03,06:30:00,2023-04-03,08:45:00,FR,Ryanair,02:15,74.9,74.9,False,False,0.0,ADT,1
2023-03-27,FR 1310_2023-04-03,FR 1310,CRL,Brussels (Charleroi),NAP,Naples,2023-04-03,09:30:00,2023-04-03,11:45:00,FR,Malta Air,02:15,130.38,130.38,False,False,0.0,ADT,2
2023-03-27,FR 6269_2023-04-03,FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-04-03,12:05:00,2023-04-03,14:35:00,FR,Ryanair,02:30,171.06,171.06,False,False,0.0,ADT,3
2023-03-27,FR 2941_2023-04-03,FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-04-03,18:00:00,2023-04-03,19:55:00,FR,Ryanair,02:55,180.19,180.19,False,False,0.0,ADT,3
2023-03-27,FR 3534_2023-04-03,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-03,16:55:00,2023-04-03,19:20:00,FR,Ryanair,02:25,206.49,206.49,False,False,0.0,ADT,3
2023-03-27,FR 1916_2023-04-03,FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-03,19:20:00,2023-04-03,22:05:00,FR,Ryanair,02:45,206.49,206.49,False,False,0.0,ADT,3
2023-03-27,FR 7831_2023-04-03,FR 7831,CRL,Brussels (Charleroi),PMI,Mallorca,2023-04-03,08:55:00,2023-04-03,11:05:00,FR,Ryanair,02:10,135.64,135.64,False,False,0.0,ADT,3
2023-03-27,FR 7986_2023-04-04,FR 7986,CRL,Brussels (Charleroi),HER,Heraklion Crete,2023-04-04,07:20:00,2023-04-04,11:45:00,FR,Ryanair,03:25,118.31,124.99,True,False,6.68,ADT,5
2023-03-27,FR 7737_2023-04-04,FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-04-04,17:20:00,2023-04-04,19:45:00,FR,Ryanair,02:25,102.41,102.41,False,False,0.0,ADT,-1
2023-03-27,FR 1302_2023-04-04,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-04,19:20:00,2023-04-04,21:35:00,FR,Malta Air,02:15,68.64,74.99,True,False,6.35,ADT,4
